loan_id,dob_ssn,zipcode,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_status,event_timestamp,created_timestamp,city,state,location_type,tax_returns_filed,population,total_wages,credit_card_due,mortgage_due,student_loan_due,vehicle_loan_due,hard_pulls,missed_payments_2y,missed_payments_1y,missed_payments_6m,bankruptcies
38302,19480720_7422,30268,49,550000,MORTGAGE,22.0,VENTURE,21500,11.89,0,2020-08-26 10:20:36.831000+00:00,2020-08-30 04:53:21.702000+00:00,WESTFORD,CA,PRIMARY,486,21646,82455713,8152,195059,5615,24134,9,5,1,1,2
38145,19630115_1864,8340,60,37200,OWN,34.0,PERSONAL,11700,6.92,0,2020-09-11 04:07:39.180000+00:00,2020-09-11 04:07:39.180000+00:00,TOPSHAM,OH,PRIMARY,586,1078,339687085,1637,1393220,35684,16336,9,0,0,0,0
37225,19460517_4894,75495,55,102031,OWN,13.0,VENTURE,5500,8.07,0,2020-09-07 03:09:28.423000+00:00,2020-09-03 00:57:52.736000+00:00,BORON,SD,PRIMARY,1028,1272,50209263,8957,643264,22520,23533,9,4,0,0,0
38395,19540614_4775,72342,50,34000,RENT,20.0,DEBTCONSOLIDATION,28000,12.92,0,2020-09-03 01:34:35.201000+00:00,2020-09-10 20:28:48.363000+00:00,SAINT CLAIRSVILLE,MO,PRIMARY,593,2363,159081943,1278,609975,7967,6258,0,2,3,0,0
37285,19930212_6651,7711,42,69000,MORTGAGE,31.0,VENTURE,24250,14.96,0,2020-08-28 14:39:07.618000+00:00,2020-09-06 03:54:34.740000+00:00,THORNBURG,MD,PRIMARY,19067,663,184822049,4847,149823,3781,17199,2,5,1,0,0
38088,19560411_2307,39741,46,85000,RENT,23.0,HOMEIMPROVEMENT,34000,8.32,0,2020-09-01 10:43:38.652000+00:00,2020-08-25 22:06:27.524000+00:00,SEATTLE,AR,PRIMARY,500,3916,9736741,6846,1592943,13817,18939,9,4,0,0,0
37940,19600114_7984,43760,41,25000,RENT,0.0,PERSONAL,5050,11.26,0,2020-09-02 07:31:42.474000+00:00,2020-09-01 05:13:16.464000+00:00,CLEARLAKE,LA,PRIMARY,18224,2288,44984750,9414,254550,37511,1420,3,7,3,0,0
38632,19530108_4017,91754,52,109000,RENT,34.0,PERSONAL,1375,8.9,0,2020-09-04 14:17:03.122000+00:00,2020-08-29 09:37:04.044000+00:00,OCCIDENTAL,VT,PRIMARY,7703,16210,44442668,2933,227155,15467,3318,6,5,1,1,0
38249,19910608_6496,33487,55,24543,OTHER,26.0,MEDICAL,17850,14.27,0,2020-08-27 01:56:39.697000+00:00,2020-09-07 03:27:49.656000+00:00,RIO MEDINA,TX,PRIMARY,4610,7503,8168390,2068,788872,34824,27633,0,0,0,0,1
38025,20011126_4104,3745,61,105201,RENT,4.0,HOMEIMPROVEMENT,15600,12.21,0,2020-08-26 05:45:18.341000+00:00,2020-08-30 15:17:23.613000+00:00,LORETTO,IL,PRIMARY,6233,4808,11080395,2250,218336,27205,567,0,2,0,0,0
38084,19770218_9777,47122,49,120000,RENT,41.0,MEDICAL,4350,16.02,0,2020-08-28 03:20:02.009000+00:00,2020-09-04 23:46:01.335000+00:00,FUQUAY VARINA,AL,PRIMARY,4027,2046,359945739,9882,1896776,2079,12530,0,0,1,0,0
37774,19491017_4502,77031,70,205000,RENT,11.0,PERSONAL,14550,15.99,1,2020-08-28 16:47:36.247000+00:00,2020-08-27 19:04:28.727000+00:00,OCEANSIDE,SD,PRIMARY,5365,493,597293486,7198,1994975,13879,29830,3,0,3,1,2
38407,20011222_3881,32096,47,175000,MORTGAGE,10.0,VENTURE,3600,10.74,0,2020-08-30 19:34:20.870000+00:00,2020-09-10 20:10:27.131000+00:00,VAN ALSTYNE,SD,PRIMARY,8607,3143,4149281,7573,1886736,32376,14262,10,0,0,0,2
38105,19780203_4695,37033,45,37200,MORTGAGE,17.0,HOMEIMPROVEMENT,25000,16.82,0,2020-09-04 14:35:24.354000+00:00,2020-09-02 21:17:37.944000+00:00,LACHINE,AL,PRIMARY,468,18687,1515281029,2857,15830,45969,5522,7,6,0,0,2
37768,19690724_7428,97405,60,15000,RENT,10.0,PERSONAL,13000,8.59,0,2020-08-31 12:42:09.900000+00:00,2020-08-31 06:35:05.246000+00:00,SMITHVILLE,UT,PRIMARY,869,4826,39493466,5069,669957,13923,2271,0,0,0,0,2
38492,19930416_3137,70083,78,121200,RENT,7.0,EDUCATION,11500,10.0,0,2020-09-01 06:08:20.162000+00:00,2020-08-29 19:06:02.256000+00:00,INDIANAPOLIS,CA,PRIMARY,8869,8279,55782841,768,888007,29720,22912,5,0,0,0,0
38052,19761123_3267,46974,41,35416,RENT,1.0,VENTURE,8000,16.35,1,2020-08-28 00:53:12.148000+00:00,2020-09-04 08:28:19.701000+00:00,SPRINGVIEW,NJ,PRIMARY,9618,16876,14331745,8538,1209189,43596,27274,0,2,0,0,0
38038,19580702_9735,75931,144,22800,MORTGAGE,7.0,MEDICAL,18000,16.77,0,2020-08-30 19:34:20.870000+00:00,2020-09-07 03:27:49.656000+00:00,FORT MYERS,AL,PRIMARY,12054,17540,188485929,4792,300248,45913,22957,8,6,0,0,1
37981,19721210_7011,4622,57,214200,OTHER,14.0,MEDICAL,17500,13.47,1,2020-08-26 04:50:14.643000+00:00,2020-08-29 09:00:21.578000+00:00,COLTON,NC,PRIMARY,18461,6534,13600635,9291,61855,34241,25645,1,1,0,0,2
38123,19651115_4707,90213,58,62000,MORTGAGE,14.0,PERSONAL,4775,16.07,0,2020-08-30 05:48:25.400000+00:00,2020-09-01 13:28:49.746000+00:00,IMPERIAL,MT,PRIMARY,538,632,167998522,1652,573933,21023,3564,2,1,0,0,0
37955,19480521_7316,49788,58,97500,RENT,28.0,EDUCATION,11700,16.35,1,2020-09-02 18:50:48.082000+00:00,2020-08-30 10:23:43.890000+00:00,SEATTLE,VA,PRIMARY,6657,1557,858865674,1184,318568,34990,28595,4,0,0,0,2
38385,19930315_7204,5859,42,4000,MORTGAGE,6.0,PERSONAL,9150,11.11,0,2020-09-06 17:40:30.210000+00:00,2020-09-03 04:01:25.063000+00:00,STERLING HEIGHTS,ID,PRIMARY,1586,35122,26302665,2364,1060058,38346,23777,3,4,0,1,0
37731,19741210_2320,23306,44,52106,MORTGAGE,26.0,EDUCATION,5050,18.3,1,2020-09-11 04:44:21.645000+00:00,2020-08-31 10:33:41.271000+00:00,MAPLE RAPIDS,LA,PRIMARY,1746,30585,16178859,7581,224583,11080,20853,0,0,3,0,0
37909,19501207_1597,44308,63,70000,RENT,21.0,MEDICAL,2000,14.65,1,2020-09-01 17:27:25.771000+00:00,2020-08-28 06:41:55.569000+00:00,SALEM,WA,PRIMARY,691,2241,329984963,176,1176105,27865,17995,2,0,0,1,0
37960,19750303_8327,83712,44,72500,MORTGAGE,0.0,PERSONAL,12000,12.73,1,2020-08-27 07:27:01.886000+00:00,2020-09-02 11:30:18.498000+00:00,OCCIDENTAL,KS,PRIMARY,2277,2598,12680118,1006,1063064,20420,14262,8,0,2,1,0
38210,19711005_1957,28329,78,22500,RENT,23.0,MEDICAL,15000,7.68,0,2020-08-31 09:38:37.573000+00:00,2020-09-02 15:10:33.290000+00:00,OLMSTEDVILLE,GA,PRIMARY,1043,19065,61228864,2250,592528,38,20659,7,2,3,0,0
37847,19710814_9007,4086,45,36000,RENT,11.0,HOMEIMPROVEMENT,7600,10.71,0,2020-08-30 10:23:43.890000+00:00,2020-08-28 17:42:39.945000+00:00,ESCALON,NE,PRIMARY,2978,2231,13844850,1075,1814358,29263,3731,9,0,0,0,0
37969,19700823_8793,20707,78,125004,OWN,0.0,EDUCATION,34000,16.77,1,2020-09-05 09:14:59.547000+00:00,2020-09-06 14:00:15.418000+00:00,CAMDEN,RI,PRIMARY,13660,16791,11093285,5656,446963,19421,12609,2,5,0,1,0
